Frekuensi,Z-M1,Fase,Kategori
500,3608.123,-4.57,diabetes
550,3592.943,-5.016,diabetes
600,3571.128,-5.211,diabetes
650,3561.772,-5.413,diabetes
700,3556.77,-6.729,diabetes
750,3556.77,-6.339,diabetes
800,3543.465,-6.951,diabetes
850,3536.831,-7.17,diabetes
900,3534.181,-7.13,diabetes
950,3529.549,-7.342,diabetes
1000,3525.252,-7.402,diabetes
1500,3498.6,-8.664,diabetes
2000,3487.473,-8.66,diabetes
2500,3476.381,-8.764,diabetes
3000,3469.223,-7.858,diabetes
3500,3466.623,-8.6,diabetes
4000,3468.898,-8.741,diabetes
4500,3466.299,-8.663,diabetes
5000,3465.974,-8.737,diabetes
5500,3460.458,-8.714,diabetes
6000,3463.053,-8.676,diabetes
